id	paper	permanent_id	sample_type	latitude	longitude	continent	year_of_sampling_from	year_of_sampling_to	Biome	primers	MAT	MAP	pH	SOC	ITS_total	manipulated	abundances
4041	266	GF05005916S	soil	51.7704	10.4003	Europe	2017	2017	forest	ITS3_KYO2/ITS4	7.1	1099	4.7	27.1	37052	0	152
4044	459	GF04001868S	soil	47.05	8.71667	Europe	2014	2014	forest	ITS3/ITS4	5.6	2147	5.1	21.3	19978	0	2
4046	378	GF04012290S	topsoil	27.12	100.17	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	617093	0	32
4050	308	GF05002132S	root	42.0851	2.37622	Europe	2017	2017	forest	ITS1F/ITS2	11	846	6.3	6.2	93914	0	1544
4063	378	GF04010271S	topsoil	24.53	101.02	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	12.9	1557	5.4	11.3	795982	0	223
4064	106	GF05021299S	soil	36.5384	127.763	Asia	2019	2019	forest	5.8S_Fun/ITS4_Fun	11.3	1429	6	14.5	254549	0	15557
4068	106	GF05021344S	soil	38.0624	128.307	Asia	2020	2020	forest	5.8S_Fun/ITS4_Fun	8.8	1366	5.5	20.5	24600	0	1
4073	171	GF05015578S	rhizosphere soil	-38.6607	-72.6	South America	2020	2020	forest	ITS3/ITS4	11.6	1382	5.2	7.6	138293	0	16
4074	171	GF05015579S	rhizosphere soil	-38.6607	-72.6	South America	2020	2020	forest	ITS3/ITS4	11.6	1382	5.2	7.6	115653	0	17
4075	171	GF05015572S	soil	-38.6607	-72.6	South America	2020	2020	forest	ITS3/ITS4	11.6	1382	5.2	7.6	132054	0	13
4077	378	GF04010274S	topsoil	27.12	100.17	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	714564	0	69
4078	378	GF04010275S	topsoil	27.12	100.17	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	1269148	0	39
4112	378	GF04011424S	topsoil	27.12	100.17	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	638688	0	25
4114	378	GF04010281S	topsoil	21.61	101.57	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	21.6	1418	5.2	1.4	1368452	0	1
4116	378	GF04011094S	topsoil	21.61	101.57	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	21.6	1418	5.2	1.4	384298	0	4
4117	378	GF04010283S	topsoil	21.61	101.57	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	21.6	1418	5.2	1.4	848688	0	24
4121	106	GF05021358S	root	37.965	128.521	Asia	2020	2020	forest	5.8S_Fun/ITS4_Fun	11.1	1109	5.8	21.9	66604	0	99
4130	51	GF05025513S	soil	-30.8248	22.3755	Africa	2017	2018	grassland	ITS1F/ITS4	17.1	219	8	0	59805	0	1
4134	835	GF01001120S	soil	-35.6083	138.261	Australia	2013	2013	woodland	ITS1F/ITS4	13.8	704	5.7	3	92624	0	1022
4135	378	GF04010287S	topsoil	27.12	100.17	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	901804	0	86
4136	378	GF04010648S	topsoil	27.12	100.17	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	423413	0	42
4137	378	GF04011850S	topsoil	27.12	100.17	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	498583	0	37
4138	378	GF04012040S	topsoil	27.12	100.17	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	271194	0	107
4139	378	GF04009323S	topsoil	27.12	100.17	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	359512	0	96
4141	378	GF04010289S	topsoil	21.61	101.57	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	21.6	1418	5.2	1.4	326867	0	2
4143	378	GF04009308S	topsoil	27.12	100.17	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	368570	0	1
4149	106	GF05021293S	soil	36.2879	126.969	Asia	2019	2019	forest	5.8S_Fun/ITS4_Fun	12.8	1533	5.5	13.1	91634	0	5
4150	528	GF03007389S	rhizosphere soil	37.0371	-2.9683	Europe	2014	2014	shrubland	ITS86F/ITS4	9.1	523	6.8	7.5	245161	0	52
4154	378	GF04012454S	topsoil	27.12	100.17	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	364163	0	9
4155	835	GF01001121S	soil	-42.5591	147.206	Australia	2014	2014	grassland	ITS1F/ITS4	11	621	5.6	5.4	183376	0	1
4156	835	GF01001122S	soil	-43.0951	146.654	Australia	2013	2013	forest	ITS1F/ITS4	11.7	1026	4.9	17	391265	0	82
4157	378	GF04010395S	topsoil	27.12	100.17	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	824205	0	1
4160	378	GF04010290S	topsoil	27.12	100.17	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	330661	0	6
4163	378	GF04010293S	topsoil	27.12	100.17	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	912952	0	58
4167	378	GF04010294S	topsoil	27.12	100.17	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	729484	0	77
4169	543	GF03006570S	soil	26.8167	110.883	Asia	2014	2014	forest	gITS7/ITS4	16.9	1499	6.3	15.1	43372	0	31
4175	835	GF01001129S	soil	-43.1029	146.747	Australia	2015	2015	forest	ITS1F/ITS4	10.7	1275	4.8	11.8	155907	0	5
4193	51	GF05025711S	soil	-11.35	30.6674	Africa	2017	2018	forest	ITS1F/ITS4	21.5	1263	5.5	0.5	29607	0	1
4194	218	GF05011552S	soil	29.2494	118.135	Asia	2012	2012	forest	ITS1F/ITS4	14.8	2407	5.1	15.9	3676	0	4
4195	225	GF05011052S	soil	39.99	-105.38	North America	2012	2012	forest	gITS7/ITS4	5.2	484	5.8	7.3	43236	0	8
4207	378	GF04010297S	topsoil	24.53	101.02	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	12.9	1557	5.4	11.3	437190	0	1
4208	378	GF04010299S	topsoil	24.53	101.02	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	12.9	1557	5.4	11.3	1678821	0	39
4210	378	GF04010174S	topsoil	24.53	101.02	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	12.9	1557	5.4	11.3	1053673	0	6
4218	378	GF04010302S	topsoil	24.53	101.02	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	12.9	1557	5.4	11.3	516332	0	1
4221	378	GF04010303S	topsoil	27.12	100.17	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	464994	0	2
4222	378	GF04010304S	topsoil	27.12	100.17	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	787862	0	98
