id,scientificName,latitude,longitude,eventDate,basisOfRecord,occurrenceStatus,datasetName,institutionCode,abundance
695,Amanita,24.53,101.02,2017-01-01,MaterialSample,present,Amanita_study,GBIF,2
696,Amanita,24.53,101.02,2014-01-01,MaterialSample,present,Amanita_study,GBIF,1
697,Amanita,24.53,101.02,2014-01-01,MaterialSample,present,Amanita_study,GBIF,152
699,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,4
702,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,7
703,Amanita,21.61,101.57,2017-01-01,MaterialSample,present,Amanita_study,GBIF,74
705,Amanita,48.6647,14.7087,2015-01-01,MaterialSample,present,Amanita_study,GBIF,29
707,Amanita,37.4685,128.602,2020-01-01,MaterialSample,present,Amanita_study,GBIF,2560
718,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,27
720,Amanita,21.61,101.57,2017-01-01,MaterialSample,present,Amanita_study,GBIF,88
721,Amanita,21.61,101.57,2017-01-01,MaterialSample,present,Amanita_study,GBIF,115
722,Amanita,21.61,101.57,2017-01-01,MaterialSample,present,Amanita_study,GBIF,29
724,Amanita,21.61,101.57,2017-01-01,MaterialSample,present,Amanita_study,GBIF,2
726,Amanita,21.61,101.57,2016-01-01,MaterialSample,present,Amanita_study,GBIF,41
727,Amanita,21.61,101.57,2017-01-01,MaterialSample,present,Amanita_study,GBIF,36
728,Amanita,21.61,101.57,2017-01-01,MaterialSample,present,Amanita_study,GBIF,33
733,Amanita,24.53,101.02,2014-01-01,MaterialSample,present,Amanita_study,GBIF,1
742,Amanita,24.53,101.02,2014-01-01,MaterialSample,present,Amanita_study,GBIF,1
752,Amanita,29.08,117.9,2014-01-01,MaterialSample,present,Amanita_study,GBIF,3
757,Amanita,52.8624,13.9172,2011-01-01,MaterialSample,present,Amanita_study,GBIF,991
762,Amanita,45.1426,7.10272,2015-01-01,MaterialSample,present,Amanita_study,GBIF,41
790,Amanita,21.612,101.574,2015-01-01,MaterialSample,present,Amanita_study,GBIF,13
805,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,13
806,Amanita,24.53,101.02,2017-01-01,MaterialSample,present,Amanita_study,GBIF,13
807,Amanita,24.53,101.02,2017-01-01,MaterialSample,present,Amanita_study,GBIF,6
812,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,40
817,Amanita,46.2918,-72.6394,2017-01-01,MaterialSample,present,Amanita_study,GBIF,633
818,Amanita,21.61,101.57,2016-01-01,MaterialSample,present,Amanita_study,GBIF,37
828,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,7
829,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,12
838,Amanita,60.1724,24.95,2019-01-01,MaterialSample,present,Amanita_study,GBIF,20
841,Amanita,62.2189,25.5972,2019-01-01,MaterialSample,present,Amanita_study,GBIF,4
842,Amanita,35.9578,138.815,2014-01-01,MaterialSample,present,Amanita_study,GBIF,158
844,Amanita,31.53,115.26,2018-01-01,MaterialSample,present,Amanita_study,GBIF,1
848,Amanita,24.53,101.02,2017-01-01,MaterialSample,present,Amanita_study,GBIF,14
850,Amanita,36.2879,126.969,2019-01-01,MaterialSample,present,Amanita_study,GBIF,57
860,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,52
861,Amanita,27.167,100.167,2015-01-01,MaterialSample,present,Amanita_study,GBIF,18
863,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,10
866,Amanita,24.53,101.02,2017-01-01,MaterialSample,present,Amanita_study,GBIF,35
869,Amanita,51.21,10.39,2017-01-01,MaterialSample,present,Amanita_study,GBIF,2
870,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,71
876,Amanita,21.61,101.57,2016-01-01,MaterialSample,present,Amanita_study,GBIF,1
877,Amanita,21.61,101.57,2017-01-01,MaterialSample,present,Amanita_study,GBIF,1
878,Amanita,21.61,101.57,2017-01-01,MaterialSample,present,Amanita_study,GBIF,2
886,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,308
888,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,34
890,Amanita,21.61,101.57,2017-01-01,MaterialSample,present,Amanita_study,GBIF,1
891,Amanita,-38.6583,-72.6003,2020-01-01,MaterialSample,present,Amanita_study,GBIF,23
895,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,513
897,Amanita,21.61,101.57,2017-01-01,MaterialSample,present,Amanita_study,GBIF,2
898,Amanita,21.61,101.57,2017-01-01,MaterialSample,present,Amanita_study,GBIF,1
903,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,3
906,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,18
909,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,234018
914,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,67
929,Amanita,24.53,101.02,2017-01-01,MaterialSample,present,Amanita_study,GBIF,51
930,Amanita,19.296,-97.0066,2016-01-01,MaterialSample,present,Amanita_study,GBIF,933
932,Amanita,24.53,101.02,2017-01-01,MaterialSample,present,Amanita_study,GBIF,38
938,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,14
945,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,21
947,Amanita,48.6643,14.7045,2015-01-01,MaterialSample,present,Amanita_study,GBIF,129
950,Amanita,46.8844,-72.2951,2017-01-01,MaterialSample,present,Amanita_study,GBIF,1191
955,Amanita,38.0321,128.463,2018-01-01,MaterialSample,present,Amanita_study,GBIF,8
962,Amanita,67.8558,20.2253,2007-01-01,MaterialSample,present,Amanita_study,GBIF,1
965,Amanita,35.9443,138.802,2014-01-01,MaterialSample,present,Amanita_study,GBIF,1734
967,Amanita,35.082,-83.2371,2017-01-01,MaterialSample,present,Amanita_study,GBIF,17
972,Amanita,-33.9716,140.728,2013-01-01,MaterialSample,present,Amanita_study,GBIF,4
979,Amanita,-34.4036,117.688,2016-01-01,MaterialSample,present,Amanita_study,GBIF,1
